unique_id,ds,y
SA1,2025-05-29 18:00:00,167.11666666666667
SA1,2025-05-29 19:00:00,147.37416666666667
SA1,2025-05-29 20:00:00,109.72583333333334
SA1,2025-05-29 21:00:00,101.59916666666668
SA1,2025-05-29 22:00:00,87.195
SA1,2025-05-29 23:00:00,90.78833333333334
SA1,2025-05-30 00:00:00,91.81916666666666
SA1,2025-05-30 01:00:00,81.53166666666667
SA1,2025-05-30 02:00:00,70.08916666666667
SA1,2025-05-30 03:00:00,71.36333333333333
SA1,2025-05-30 04:00:00,73.1425
SA1,2025-05-30 05:00:00,78.22166666666666
SA1,2025-05-30 06:00:00,104.505
SA1,2025-05-30 07:00:00,132.45333333333335
SA1,2025-05-30 08:00:00,121.57833333333333
SA1,2025-05-30 09:00:00,116.40583333333335
SA1,2025-05-30 10:00:00,87.5225
SA1,2025-05-30 11:00:00,87.3125
SA1,2025-05-30 12:00:00,77.42083333333333
SA1,2025-05-30 13:00:00,68.64333333333333
SA1,2025-05-30 14:00:00,81.30833333333334
SA1,2025-05-30 15:00:00,109.10416666666667
SA1,2025-05-30 16:00:00,148.47
SA1,2025-05-30 17:00:00,194.81416666666667
SA1,2025-05-30 18:00:00,168.26
SA1,2025-05-30 19:00:00,148.29333333333332
SA1,2025-05-30 20:00:00,151.47583333333333
SA1,2025-05-30 21:00:00,139.01666666666668
SA1,2025-05-30 22:00:00,141.35833333333332
SA1,2025-05-30 23:00:00,121.12583333333333
SA1,2025-05-31 00:00:00,113.74666666666667
SA1,2025-05-31 01:00:00,110.12666666666667
SA1,2025-05-31 02:00:00,111.42
SA1,2025-05-31 03:00:00,118.995
SA1,2025-05-31 04:00:00,136.43333333333334
SA1,2025-05-31 05:00:00,143.895
SA1,2025-05-31 06:00:00,154.12416666666667
SA1,2025-05-31 07:00:00,139.15166666666667
SA1,2025-05-31 08:00:00,137.0825
SA1,2025-05-31 09:00:00,109.69583333333333
SA1,2025-05-31 10:00:00,73.25083333333333
SA1,2025-05-31 11:00:00,62.19
SA1,2025-05-31 12:00:00,59.37916666666666
SA1,2025-05-31 13:00:00,54.60666666666666
SA1,2025-05-31 14:00:00,59.705000000000005
SA1,2025-05-31 15:00:00,86.03083333333332
SA1,2025-05-31 16:00:00,169.3425
SA1,2025-05-31 17:00:00,226.895
SA1,2025-05-31 18:00:00,190.545
SA1,2025-05-31 19:00:00,168.1158333333333
SA1,2025-05-31 20:00:00,182.47166666666666
SA1,2025-05-31 21:00:00,161.08583333333334
SA1,2025-05-31 22:00:00,159.8475
SA1,2025-05-31 23:00:00,139.30666666666667
SA1,2025-06-01 00:00:00,135.71
